企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数
E173,18.54867,7.82445,10.72422,2.14827,0,0.13658,0.15819,350,0.01135,0,350,0.9988,4.00E-05
E174,18.40842,7.1301,11.27832,6.48708,0,0.13356,0.15415,85,0.00341,0,85,0.9976,5.00E-05
E175,18.19977,8.31508,9.88469,6.21461,0,0.13109,0.15087,1827,0.01841,0,1827,0.99927,8.00E-05
E176,18.36866,7.6811,10.68756,5.81794,0,0.13315,0.15361,169,0.02149,0,169,0.99862,6.00E-05
E177,18.57792,6.8773,11.70062,6.83738,0,0.07082,0.07622,201,0.01438,0,201,0.99691,0.00228
E178,18.26289,7.01751,11.24539,13.42986,0,0.1304,0.14995,183,0.017,0,183,0.99731,7.00E-05
E179,18.00354,6.69084,11.31269,6.56212,0,0.07358,0.07942,44,0.03105,0,44,0.99627,0.00012
E180,18.17106,7.65444,10.51662,4.84702,0,0.13327,0.15377,479,0.00316,0,479,0.99858,8.00E-05
E181,18.21293,7.35947,10.85347,11.20404,0,0.12194,0.13888,186,0.00057,0,186,0.99809,8.00E-05
E182,18.19471,6.98286,11.21184,11.28417,0,0.13547,0.1567,42,0,0,42,0.99722,8.00E-05
E183,18.06561,6.93537,11.13023,5.09185,0,0.06564,0.07025,42,0.00267,0,42,0.99708,9.00E-05
E184,17.80918,6.48768,11.3215,5.46209,0,0.07708,0.08351,39,0.03548,0,39,0.99543,0.00019
E185,18.41082,8.60868,9.80214,11.4754,0,0.05011,0.05275,314,0.00668,0,314,0.99945,6.00E-05
E186,18.26288,7.00125,11.26163,6.66748,0,0.0285,0.02934,5,0,0,5,0.99727,7.00E-05
E187,18.19398,5.17048,13.0235,4.80213,0,0.07758,0.08411,57,0.01005,0,57,0.98295,0.00644
E188,18.24456,7.67694,10.56762,11.4452,0,0.11996,0.13631,246,0.00632,0,246,0.99861,7.00E-05
E189,17.77731,6.46303,11.31428,7.57134,0,0.07174,0.07728,25,0.02143,0,25,0.99532,0.00016
E190,18.75034,5.99396,12.75638,,0,0.02666,0.02739,28,0.04279,0,28,0.99252,0.00245
E191,19.40173,7.96242,11.43931,5.56475,0,0.14191,0.16539,103,1.00E-05,0,103,0.99896,1.00E-05
E192,17.70697,4.45435,13.25262,13.53077,0,0.06063,0.06455,7,0.02327,0,7,0.96512,0.01568
E193,18.69245,10.38316,8.30929,6.28223,0,0.1373,0.15916,2537,0.00753,0,2537,0.99991,0.00012
E194,18.38534,9.37084,9.0145,5.17609,0,0.00072,0.00072,3264,0.04611,0,3264,0.99974,5.00E-05
E195,18.56034,8.48818,10.07216,5.98951,0,0.1373,0.15915,402,0.0052,0,402,0.99938,4.00E-05
E196,18.1911,7.99362,10.19748,5.14575,0,0.12974,0.14908,700,0.02969,0,700,0.99899,8.00E-05
E197,19.07977,8.37078,10.70899,4.89769,0,0.13058,0.15019,1263,0.01383,0,1263,0.99931,1.00E-05
E198,17.98481,6.6958,11.28902,5.53113,0,0.12907,0.14819,42,0.08369,0,42,0.99629,0.00012
E199,17.92212,6.7093,11.21281,6.2452,0,0.04156,0.04336,3,0.14201,0,3,0.99634,0.00013
E200,17.75786,6.41836,11.3395,10.07418,0,0.13279,0.15313,50,0.01802,0,50,0.99511,0.00019
E201,17.81951,7.09589,10.72362,7.9481,0,0.08729,0.09563,174,0.00443,0,174,0.99751,0.00016
E202,18.42257,7.00851,11.41407,5.35951,0,0.07056,0.07592,5,0,0,5,0.99729,4.00E-05
E203,17.71001,6.45677,11.25324,7.97681,0,0.07963,0.08651,31,0.0002,0,31,0.99529,0.00021
E204,18.54949,7.42655,11.12294,6.51436,0,0.11318,0.12763,418,0.01616,0,418,0.99821,4.00E-05
E205,18.16332,6.91572,11.24759,12.71592,0,0.13682,0.15851,71,0.00865,0,71,0.99702,8.00E-05
E206,18.43309,6.87005,11.56303,5.66833,0,0.06742,0.07229,313,0.00032,0,313,0.99688,0.00149
E207,18.65178,7.28482,11.36696,5.95187,0,0.0655,0.07009,17,0.00671,0,17,0.99794,3.00E-05
E208,18.2715,6.93537,11.33613,5.57652,0,0.13683,0.15852,91,0.02006,0,91,0.99708,7.00E-05
E209,18.15256,7.29641,10.85614,4.53206,0,0.05697,0.06041,574,0.05012,0,574,0.99797,8.00E-05
E210,17.86511,6.39192,11.47319,5.43843,0,0.02922,0.0301,4,0,0,4,0.99497,0.00015
E211,17.77718,7.40001,10.37717,9.81088,0,0.05659,0.05999,84,0.01044,0,84,0.99817,0.00016
E212,18.29009,7.42714,10.86294,5.86672,0,0.0566,0.06,126,0.01104,0,126,0.99822,6.00E-05
E213,17.96811,7.14677,10.82134,5.10625,0,0.11661,0.132,263,0.01086,0,263,0.99764,0.00012
E214,18.17113,6.76619,11.40494,9.08405,0,0.07761,0.08414,248,0.01089,0,248,0.99654,0.00244
E215,18.10158,6.72503,11.37655,5.63035,0,0.03209,0.03316,8,0,0,8,0.9964,0.00011
E216,18.0094,6.65157,11.35783,9.26207,0,0.08923,0.09797,30,0.00398,0,30,0.99612,0.00012
E217,17.84184,6.61874,11.2231,12.66271,0,0.13593,0.15731,43,0.01107,0,43,0.99599,0.00015
E218,17.71589,5.44674,12.26916,11.37432,0,0.07786,0.08443,71,0,0,71,0.98707,0.01387
E219,17.5811,6.43455,11.14655,8.26449,0,0.11388,0.12851,30,0.05796,0,30,0.99518,0.00028
E220,18.25459,7.16781,11.08678,9.16099,0,0.0566,0.06,147,0.00347,0,147,0.99769,6.00E-05
E221,17.69252,6.54247,11.15005,5.04562,0,0.0566,0.06,312,0.02072,0,312,0.99568,0.00019
E222,18.12443,7.22694,10.89749,5.54767,0,0.09522,0.10525,69,0.01522,0,69,0.99782,0.0001
E223,17.37808,6.27099,11.10709,4.83795,0,0.11704,0.13256,54,0.0381,0,54,0.99433,0.0004
E224,18.39245,7.02731,11.36513,12.02198,0,0.13938,0.16195,42,0.01151,0,42,0.99734,5.00E-05
E225,18.12886,9.09066,9.03821,4.27235,0,0.08164,0.0889,476,0.01431,0,476,0.99966,7.00E-05
E226,17.6749,6.31716,11.35773,5.1248,0,0.09336,0.10298,34,0.00921,0,34,0.99458,0.00022
E227,17.89399,6.60935,11.28464,5.77256,0,0.07497,0.08105,86,0.00644,0,86,0.99596,0.00015
E228,18.10453,7.06987,11.03465,5.17609,0,0.0624,0.06655,169,0.12236,0,169,0.99745,9.00E-05
E229,17.91692,6.75926,11.15767,10.87988,0,0.13715,0.15895,33,0.00073,0,33,0.99652,0.00014
E230,17.82612,6.51619,11.30993,8.56088,0,0.02019,0.0206,70,0.03551,0,70,0.99556,0.00016
E231,17.41676,6.01127,11.4055,11.48337,0,0.07434,0.08031,8,0,0,8,0.99265,0.00039
E232,17.7,4.77068,12.92932,7.87888,0,0.0566,0.06,5,0.17006,0,5,0.97458,0.01881
E233,16.83509,5.47227,11.36282,5.17609,0,0.06678,0.07155,3,0,0,3,0.98739,0.00125
E234,17.54429,6.40357,11.14071,5.92313,0,0.12811,0.14693,137,0.00837,0,137,0.99503,0.00028
E235,17.56355,6.92166,10.64189,8.8774,0,0.13256,0.15282,192,0.00681,0,192,0.99704,0.00027
E236,17.88842,6.50279,11.38563,2.5096,0,0.06861,0.07367,30,0.01982,0,30,0.9955,0.00017
E237,16.98588,5.68698,11.2989,4.94028,0,0.08576,0.0938,35,0,0,35,0.98983,0.00086
E238,17.92673,9.39964,8.52709,5.58158,0,0.0566,0.06,2259,0.0703,0,2259,0.99975,0
E239,17.20829,5.8522,11.35609,5.57652,0,0.12539,0.14336,34,0.00844,0,34,0.99138,0.00057
E240,18.42868,4.82028,13.6084,2.33988,0,0.02913,0.03,6,0.02312,0,6,0.97581,0.00464
E241,17.54161,6.67708,10.86452,5.17609,0,0.13511,0.15621,37,0.00413,0,37,0.99622,0.00029
E242,16.83666,5.57215,11.26451,5.86924,0,0.12421,0.14182,35,0.02569,0,35,0.98859,0.00119
E243,17.32156,6.56667,10.75488,5.95941,0,0.13469,0.15566,35,0,0,35,0.99578,0.00044
E244,17.56059,6.28413,11.27646,5.01363,0,0.11318,0.12763,20,0.02627,0,20,0.9944,0.0003
E245,17.1514,5.86647,11.28493,5.27141,0,0.02913,0.03,38,0.05873,0,38,0.9915,0.0006
E246,17.35471,6.72022,10.63449,5.27141,0,0.05704,0.06049,128,0.02241,0,128,0.99638,0.00039
E247,16.95851,5.88332,11.07519,5.58158,0,0.12959,0.14888,10,0,0,10,0.99164,0.00088
E248,16.98906,6.00389,10.98517,7.71111,0,0.06712,0.07195,125,0.00933,0,125,0.99259,0.00085
E249,17.76689,6.15698,11.60991,5.37759,0,0.03367,0.03484,3,0,0,3,0.99364,0.00285
E250,17.45263,6.65673,10.7959,5.67686,0,0.13346,0.15402,104,0.03619,0,104,0.99614,0.00034
E251,16.56307,5.75257,10.8105,7.01267,0,0.11758,0.13325,138,0.05782,0,138,0.99048,0.00184
E252,17.52214,6.29342,11.22872,4.7288,0,0.12402,0.14158,41,0.01876,0,41,0.99445,0.00349
E253,17.16267,5.9428,11.21987,11.39071,0,0.06423,0.06864,113,0.00508,0,113,0.99213,0.00057
E254,17.50095,6.20051,11.30044,8.617,0,0.02913,0.03,23,0.00359,0,23,0.99391,0.0003
E255,17.51928,6.4599,11.05938,5.45331,0,0.13729,0.15914,20,0.03887,0,20,0.99531,0.00031
E256,17.23736,6.82329,10.41408,9.59172,0,0.13588,0.15725,212,0.00353,0,212,0.99674,0.00048
E257,17.11467,5.88888,11.22579,6.12741,0,0.10491,0.1172,42,0.02919,0,42,0.99169,0.00068
E258,18.09824,7.82204,10.2762,8.04583,0,0.04998,0.05261,196,0.01208,0,196,0.9988,9.00E-05
E259,17.35888,6.70686,10.65201,10.26016,0,0.0566,0.06,223,0.02682,0,223,0.99633,0.00038
E260,17.03734,7.37023,9.66711,5.63382,0,0.12385,0.14136,309,0.01598,0,309,0.99811,0.00075
E261,16.73136,7.34472,9.38664,8.30286,0,0.13107,0.15085,140,0.01232,0,140,0.99806,0.00078
E262,17.05815,6.53959,10.51856,11.16731,0,0.1324,0.1526,202,0.00386,0,202,0.99566,0.0007
E263,17.26326,6.20658,11.05669,6.90776,0,0.07946,0.08632,17,0.02571,0,17,0.99395,0.00049
E264,17.1274,6.04737,11.08003,7.25495,0,0.13886,0.16125,15,0.04064,0,15,0.99291,0.00067
E265,17.09805,6.16331,10.93474,2.33988,0,0.09821,0.1089,67,0.04687,0,67,0.99368,0.00061
E266,17.17132,6.18208,10.98924,5.82322,0,0.13602,0.15743,16,0.02392,0,16,0.9938,0.0006
E267,16.80238,5.42495,11.37743,5.17609,0,0.01369,0.01388,11,0.015,0,11,0.98678,0.00127
E268,17.09817,5.8861,11.21207,5.14563,0,0.05383,0.0569,11,0.03106,0,11,0.99167,0.0007
E269,17.33395,5.40717,11.92678,8.01722,0,0.12917,0.14833,21,0.01581,0,21,0.98655,0.01497
E270,17.03718,6.02828,11.0089,8.28961,0,0.13052,0.15011,40,0.01604,0,40,0.99277,0.00078
E271,17.61233,6.32257,11.28977,5.09816,0,0.13822,0.16039,99,0.05337,0,99,0.99461,0.01257
E272,16.54585,6.38856,10.15728,5.1409,0,0.13215,0.15228,74,0.0929,0,74,0.99496,0.00184
E273,16.96307,8.99293,7.97014,9.15207,0,0.03446,0.03569,5133,0.00243,0,5133,0.99963,1.00E-05
E274,16.38675,5.03695,11.3498,10.03093,0,0.02913,0.03,17,0.00742,0,17,0.98052,0.00275
E275,17.07389,6.08904,10.98485,6.27305,0,0.07024,0.07555,48,0.07389,0,48,0.9932,0.00064
E276,16.43806,5.35659,11.08147,5.01688,0,0.07736,0.08384,23,0.04458,0,23,0.98585,0.00226
E277,16.77123,5.60212,11.16911,11.39071,0,0.13545,0.15667,36,0.00475,0,36,0.98893,0.00125
E278,16.44913,5.47227,10.97686,4.9467,0,0.13053,0.15012,39,0.01264,0,39,0.98739,0.00248
E279,17.00044,6.2653,10.73514,5.15075,0,0.01503,0.01526,7,0.09026,0,7,0.9943,0.00082
E280,16.73467,6.37673,10.35795,5.48359,0,0.13477,0.15577,127,0.00705,0,127,0.9949,0.00126
E281,16.67186,6.36475,10.3071,6.79925,0,0.08149,0.08872,43,0.00169,0,43,0.99484,0.00139
E282,16.91133,7.90507,9.00625,10.05625,0,0.04446,0.04653,593,0.01143,0,593,0.99889,0.00093
E283,16.81932,5.70044,11.11888,5.17609,0,0.13438,0.15524,20,0,0,20,0.98997,0.00113
E284,16.64366,6.14419,10.49948,,0,0.13265,0.15294,127,0.00042,0,127,0.99356,0.00139
E285,17.35,6.33505,11.01494,11.33414,0,0.1112,0.12512,55,0.01287,0,55,0.99468,0.00045
E286,16.57067,5.55296,11.01772,10.5425,0,0.12484,0.14265,35,0.01534,0,35,0.98837,0.00194
E287,16.67174,5.73334,10.9384,9.78127,0,0.13395,0.15467,26,0.0041,0,26,0.99029,0.00125
E288,16.83695,5.7301,11.10685,11.49931,0,0.13726,0.1591,40,0.01674,0,40,0.99026,0.00109
E289,16.90335,7.42595,9.47739,7.44804,0,0.02913,0.03,405,0.00477,0,405,0.99821,0.00082
E290,16.80154,7.02554,9.776,6.80337,0,0.12896,0.14805,113,0.00907,0,113,0.99733,0.00108
E291,16.27725,5.0876,11.18965,3.99268,0,0.1365,0.15808,31,0.00926,0,31,0.98148,0.00364
E292,16.29496,7.18311,9.11185,6.05098,0,0.06947,0.07465,20,0.00102,0,20,0.99772,4.00E-05
E293,15.9517,4.76217,11.18952,6.14631,0,0.12887,0.14794,3,0,0,3,0.97436,0.0063
E294,17.08836,5.88332,11.20504,6.25458,0,0.13528,0.15644,47,0.00379,0,47,0.99164,0.0007
E295,16.64438,5.52545,11.11893,9.20234,0,0.13424,0.15505,59,0.00789,0,59,0.98805,0.0016
E296,16.49324,5.52943,10.96382,3.98472,0,0.06276,0.06696,19,0.11847,0,19,0.9881,0.00242
E297,16.53448,5.20949,11.32499,12.35304,0,0.13006,0.1495,3,0,0,3,0.98361,0.00206
E298,16.73208,7.94201,8.79007,8.12028,0,0.03144,0.03246,263,0.00868,0,263,0.99893,1.00E-05
E299,16.93914,6.30079,10.63836,4.11611,0,0.09998,0.11109,279,0.0218,0,279,0.9945,0.00635
E300,16.81924,5.50533,11.31391,6.95063,0,0.08464,0.09247,23,0.01798,0,23,0.9878,0.00122
E301,16.62254,6.12687,10.49567,4.34705,0,0.05069,0.0534,121,0.01062,0,121,0.99345,0.00164
E302,16.15638,5.66643,10.48996,5.72443,0,0.12854,0.1475,34,0.00789,0,34,0.98962,0.00356
E303,16.63713,5.8861,10.75103,5.17609,0,0.00479,0.00481,48,9.00E-05,0,48,0.99167,0.00161
E304,16.10635,6.93634,9.17,9.27044,0,0.13071,0.15037,202,0,0,202,0.99708,0.00243
E305,17.91041,5.88332,12.02709,4.98374,0,0.05582,0.05911,5,0.00483,0,5,0.99164,0.00746
E306,16.46329,5.94542,10.51787,5.81532,0,0.06479,0.06928,67,0.03047,0,67,0.99215,0.0024
E307,15.79838,4.74493,11.05345,7.10544,0,0.08162,0.08888,10,0,0,10,0.97391,0.00799
E308,16.39131,7.60837,8.78293,9.90349,0,0.02913,0.03,1713,0.00514,0,1713,0.99851,3.00E-05
E309,16.55049,5.35186,11.19864,6.57708,0,0.05494,0.05813,41,0.00521,0,41,0.98578,0.00197
E310,16.30706,6.90475,9.40231,4.46268,0,0.0385,0.04005,456,0.03166,0,456,0.99699,0.00226
E311,16.29482,6.14633,10.14849,4.47301,0,0.02913,0.03,134,0.0549,0,134,0.99358,0.0032
E312,16.35719,6.52649,9.83069,4.66523,0,0.13648,0.15804,192,0.03655,0,192,0.99561,0.00258
E313,16.46449,5.69373,10.77076,8.25161,0,0.09197,0.10128,29,0.02533,0,29,0.9899,0.00227
E314,15.9456,4.84419,11.10141,5.70378,0,0.02934,0.03022,5,0.01738,0,5,0.97638,0.00642
E315,16.27691,7.36518,8.91173,6.51959,0,0.13452,0.15543,141,0.00146,0,141,0.9981,4.00E-05
E316,16.30746,6.12249,10.18496,4.95237,0,0.12815,0.14698,23,0.03609,0,23,0.99342,0.00288
E317,15.75408,5.34233,10.41175,4.76627,0,0.0603,0.06417,35,0.04339,0,35,0.98565,0.0068
E318,16.37362,6.01372,10.35991,8.12205,0,0.13538,0.15658,17,0.00228,0,17,0.99267,0.0016
E319,16.51578,6.60935,9.90643,8.61315,0,0.13772,0.15971,177,0.00343,0,177,0.99596,0.00157
E320,16.01474,4.58497,11.42978,6.04529,0,0.0566,0.06,6,0,0,6,0.96939,0.00547
E321,16.35976,6.05678,10.30298,12.08537,0,0.09018,0.09912,128,0.02395,0,128,0.99297,0.00247
E322,16.20787,6.77992,9.42795,4.55545,0,0.10654,0.11924,14,0.14029,0,14,0.99659,0.00333
E323,15.75886,5.10595,10.65291,8.26449,0,0.08119,0.08836,15,0,0,15,0.98182,0.00866
E324,16.65395,6.03069,10.62327,10.88818,0,0.08297,0.09047,43,0.01166,0,43,0.99279,0.00148
E325,16.35181,8.33807,8.01374,13.02675,0,0.11799,0.13377,1519,0.01057,0,1519,0.99928,0.00167
E326,16.31652,5.28827,11.02825,10.69756,0,0.13565,0.15694,36,0,0,36,0.98485,0.00337
E327,16.76867,5.60212,11.16655,5.17609,0,0.13892,0.16133,7,0.00113,0,7,0.98893,0.0013
E328,16.07253,5.09987,10.97266,4.77567,0,0.08561,0.09363,44,0.04438,0,44,0.98171,0.00478
E329,16.2529,4.85981,11.39309,5.57652,0,0,0,16,0,0,16,0.97674,0.00377
E330,15.93711,8.9661,6.97101,5.17609,0,0.02913,0.03,1421,0.00292,0,1421,0.99962,7.00E-05
E331,15.6565,4.55388,11.10262,7.98834,0,0.0566,0.06,13,0.01753,0,13,0.96842,0.01061
E332,17.25341,5.96101,11.29241,6.34439,0,0.14159,0.16495,6,0.00391,0,6,0.99227,0.00052
E333,15.86178,4.91998,10.9418,5.58158,0,0.02913,0.03,6,0.00172,0,6,0.9781,0.00785
E334,15.93092,5.2832,10.64772,7.02007,0,0.13571,0.15702,20,0.01619,0,20,0.98477,0.00626
E335,15.5954,5.82895,9.76645,11.12669,0,0.09365,0.10332,11,0,0,11,0.99118,0.00887
E336,14.8762,3.97029,10.90591,5.57652,0,0.0009,0.0009,19,0,0,19,0.9434,0.03116
E337,16.38001,6.62539,9.75461,8.33054,0,0.10803,0.12112,99,0.0079,0,99,0.99602,0.00174
E338,15.89197,4.48864,11.40333,5.86921,0,0.04157,0.04338,4,0,0,4,0.96629,0.00707
E339,15.22889,5.17048,10.05841,8.98051,0,0.13225,0.15241,36,0.03348,0,36,0.98295,0.01131
E340,15.93904,5.09987,10.83918,8.35356,0,0.02913,0.03,47,0.10916,0,47,0.98171,0.0062
E341,15.12398,4.31749,10.80649,6.10233,0,0.13133,0.15118,26,0,0,26,0.96,0.01602
E342,15.59566,5.0689,10.52675,6.00766,0,0.13322,0.15369,23,0.00159,0,23,0.98113,0.0079
E343,14.83162,6.07074,8.76088,5.57652,0,0.02916,0.03003,29,0.02335,0,29,0.99307,0.00063
E344,14.69409,4.5326,10.16149,7.98824,0,0.13372,0.15437,54,0.09863,0,54,0.96774,0.02579
E345,14.76809,4.46591,10.30218,7.8619,0,0.10619,0.11881,23,0,0,23,0.96552,0.0206
E346,14.76243,6.46925,8.29318,5.91679,0,0.13577,0.1571,108,0.0015,0,108,0.99535,0.00071
E347,14.60871,5.34711,9.2616,8.99166,0,0.13824,0.16042,40,0,0,40,0.98571,0.01421
E348,14.68081,8.35913,6.32167,3.36833,0,0.02913,0.03,1010,0.01129,0,1010,0.9993,1.00E-05
E349,15.0182,3.66356,11.35464,5.57652,0,0.02913,0.03,2,0,0,2,0.92308,0.02797
E350,14.35202,4.09434,10.25768,3.15487,0,0.03026,0.03121,33,0.00964,0,33,0.95,0.03633
E351,14.09028,4.09434,9.99593,6.87819,0,0.02913,0.03,15,0,0,15,0.95,0.04331
E352,14.87463,3.95124,10.92339,10.76151,0,0.02913,0.03,41,0,0,41,0.94231,0.02677
E353,15.04391,4.38203,10.66188,5.13527,0,0.03005,0.03098,25,0.04345,0,25,0.9625,0.01883
E354,14.70282,5.77765,8.92517,8.76527,0,0.02932,0.03021,66,0.02649,0,66,0.99071,0.00099
E355,14.04211,5.63121,8.4109,13.13184,0,0.02914,0.03002,107,0,0,107,0.98925,0.00295
E356,14.23116,5.25227,8.97889,5.57652,0,0.02938,0.03027,4,0,0,4,0.98429,0.00203
E357,14.17119,5.03695,9.13424,,0,0.02913,0.03,15,0,0,15,0.98052,0.00231
E358,14.48011,5.70711,8.773,5.57652,0,0.02913,0.03,26,0.15624,0,26,0.99003,0.00124
E359,14.08462,5.49306,8.59156,5.57652,0,0.02913,0.03,36,0.01221,0,36,0.98765,0.00263
E360,14.94609,3.55535,11.39074,5.57652,0,0.02913,0.03,2,0,0,2,0.91429,0.02996
E361,15.52451,4.77068,10.75383,11.30905,0,0.05447,0.05761,30,0,0,30,0.97458,0.0118
E362,15.35641,4.65396,10.70245,5.17111,0,0.02913,0.03,14,0.04676,0,14,0.97143,0.01702
E363,14.24751,3.66356,10.58395,9.00345,0,0.02965,0.03056,11,0,0,11,0.92308,0.0454
E364,14.59536,5.81413,8.78123,6.00085,0,0.13669,0.15833,57,0.01781,0,57,0.99104,0.00098
E365,15.20992,4.47734,10.73258,5.89148,0,0.09187,0.10116,17,0,0,17,0.96591,0.01972
E366,14.23154,2.99573,11.23581,11.6898,0,0.04762,0.05,5,0,0,5,0.85,0.05337
E367,14.61733,5.37064,9.24669,8.46689,0,0.03481,0.03607,19,0.04329,0,19,0.98605,0.00999
E368,14.11733,3.46574,10.6516,5.69491,0,0.08262,0.09006,5,0.07317,0,5,0.90625,0.06754
E369,14.23768,5.36598,8.8717,8.60036,0,0.13718,0.15899,19,0.00582,0,19,0.98598,0.00203
