企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数,信誉评级,是否违约,综合得分
E30,5,5,4,4,5,5,5,5,3,1,5,1,3,4,5,4.374
E31,5,5,5,2,5,2,2,1,4,1,1,1,5,5,5,3.869
E32,5,3,5,2,5,1,1,3,4,1,3,3,3,4,5,3.83
E33,5,4,5,1,5,3,3,5,2,1,5,2,3,4,5,4.078
E34,5,3,5,1,5,2,2,3,3,1,3,3,3,4,5,3.837
E35,5,5,4,4,5,5,5,5,2,1,5,1,5,4,5,4.387
E36,5,5,3,1,5,3,3,5,1,1,5,1,5,1,1,2.332
E37,5,4,5,5,5,5,5,3,4,1,3,2,3,4,5,4.338
E38,5,5,4,4,5,3,3,5,1,1,5,1,5,4,5,4.166
E39,5,5,4,5,5,4,4,3,3,1,3,1,5,2,5,4
E40,5,5,3,1,5,5,5,4,3,1,4,1,5,2,5,3.93
E41,5,5,5,4,5,4,4,3,2,1,3,1,5,2,5,3.98
E42,4,4,3,2,5,5,5,5,3,1,5,2,1,5,5,4.184
E43,4,3,4,5,5,5,5,3,4,1,3,3,4,4,5,4.224
E44,4,5,3,2,5,4,4,5,3,1,5,1,4,2,5,3.878
E45,4,3,5,2,5,3,3,1,4,1,1,3,3,4,1,2.406
E46,4,3,5,4,5,2,2,1,4,1,1,3,4,2,5,3.585
E47,5,5,3,2,5,5,5,4,1,1,4,1,5,2,5,3.904
E48,4,4,5,1,5,3,3,1,4,1,1,2,5,5,5,3.839
E49,4,5,2,1,5,4,4,5,4,1,5,1,5,2,5,3.827
E50,4,3,4,3,5,2,2,2,3,1,2,3,5,2,5,3.555
E51,4,4,4,5,5,3,3,4,2,1,4,2,5,4,5,4.082
E52,5,4,5,1,5,3,3,4,4,1,4,2,2,1,1,2.407
E53,4,4,3,5,5,4,4,3,4,1,3,2,4,2,5,3.873
E54,4,5,3,2,5,4,4,5,2,1,5,1,4,5,5,4.126
E55,4,4,3,3,5,4,4,5,3,1,5,2,4,2,5,3.93
E56,4,4,5,1,5,2,2,1,3,1,1,2,5,2,5,3.425
E57,3,2,5,3,5,4,4,1,3,1,1,4,2,4,5,3.75
E58,5,5,5,2,5,5,5,3,4,1,3,1,5,4,5,4.24
E59,4,4,3,1,5,1,1,5,1,1,5,2,4,5,5,3.769
E60,4,4,4,5,5,1,1,2,1,1,2,2,4,4,5,3.646
E61,3,3,5,3,5,1,1,3,2,1,3,3,4,4,5,3.673
E62,3,2,5,3,5,3,3,1,2,1,1,4,3,4,5,3.646
E63,4,5,2,5,5,4,4,3,2,1,3,1,4,4,5,3.92
E64,3,3,4,3,5,4,4,4,2,1,4,3,3,5,5,4.049
E65,4,4,4,2,5,3,3,4,1,1,4,2,5,4,5,3.901
E66,4,5,2,5,5,5,5,5,3,1,5,1,5,4,5,4.264
E67,4,4,3,4,5,4,4,4,4,1,4,2,5,4,5,4.135
E68,4,3,4,2,5,3,3,5,2,1,5,3,4,2,5,3.822
E69,5,4,5,1,5,4,4,3,3,1,3,2,3,2,5,3.827
E70,3,3,4,4,5,2,2,1,1,1,1,3,3,4,5,3.496
E71,3,4,3,5,5,4,4,4,3,1,4,2,4,4,5,4.043
E72,3,3,4,3,5,4,4,2,3,1,2,3,3,2,5,3.611
E73,4,3,5,5,5,3,3,3,3,1,3,3,3,2,5,3.853
E74,4,5,2,1,5,4,4,5,3,1,5,1,4,4,5,3.955
E75,3,4,3,5,5,3,3,2,1,1,2,2,3,2,5,3.472
E76,3,3,4,4,5,4,4,3,3,1,3,3,4,4,5,3.969
E77,4,3,4,4,5,4,4,2,2,1,2,3,4,2,5,3.725
E78,3,3,4,2,5,3,3,2,2,1,2,3,4,2,5,3.459
E79,3,5,2,3,5,5,5,5,4,1,5,1,3,4,5,4.077
E80,5,4,5,5,5,3,3,4,3,1,4,2,4,2,5,4.047
E81,3,3,3,3,5,2,2,1,3,1,1,3,3,5,5,3.552
E82,3,5,2,4,5,4,4,4,2,1,4,1,5,1,1,2.289
E83,3,2,3,5,5,3,3,3,1,1,3,4,3,4,5,3.765
E84,4,4,4,1,5,5,5,3,3,1,3,2,5,5,5,4.111
E85,3,5,1,4,5,1,1,5,4,1,5,1,5,4,5,3.742
E86,3,3,2,5,5,4,4,3,3,1,3,3,2,2,5,3.647
E87,3,4,2,2,5,2,2,5,4,1,5,2,2,2,1,2.202
E88,3,2,3,4,5,2,2,2,2,1,2,4,2,5,5,3.637
E89,3,1,5,3,5,1,1,1,4,1,1,5,2,5,5,3.61
E90,2,4,1,4,5,2,2,2,1,1,2,2,4,2,5,3.149
E91,5,5,4,1,5,5,5,5,1,1,5,1,5,5,5,4.301
E92,3,3,3,1,5,4,4,4,2,1,4,3,3,2,5,3.603
E93,3,3,3,4,5,1,1,5,4,1,5,3,3,4,5,3.83
E94,2,2,2,5,5,1,1,3,4,1,3,4,2,2,5,3.334
E95,3,2,3,3,5,5,5,4,1,1,4,4,2,4,5,3.923
E96,2,3,2,5,5,1,1,2,2,1,2,3,4,2,5,3.211
E97,3,5,1,5,5,2,2,5,4,1,5,1,5,4,5,3.882
E98,2,2,2,4,5,3,3,4,4,1,4,4,2,4,5,3.755
E99,2,2,2,5,5,2,2,1,3,1,1,4,2,1,1,1.764
E100,3,2,3,5,5,3,3,3,4,1,3,4,3,1,1,2.251
E101,2,1,3,5,5,3,3,2,4,1,2,5,2,1,1,2.057
E102,5,5,3,1,5,3,3,5,1,1,5,1,5,1,1,2.332
E103,2,1,4,3,5,2,2,3,4,1,3,5,1,1,1,2.004
E104,2,4,1,5,5,5,5,4,4,1,4,2,4,2,5,3.774
E105,2,3,2,3,5,5,5,1,3,1,1,3,4,2,5,3.425
E106,2,4,1,1,5,2,2,5,4,1,5,2,4,4,5,3.591
E107,3,3,2,5,5,5,5,3,2,1,3,3,3,1,1,2.292
E108,2,3,2,1,5,2,2,3,4,1,3,3,2,1,1,1.795
E109,2,1,5,3,5,2,2,1,1,1,1,5,1,1,1,1.768
E110,2,1,4,2,5,4,4,2,4,1,2,5,2,2,5,3.505
E111,2,3,1,5,5,3,3,4,2,1,4,3,4,1,1,2.085
E112,2,2,2,1,5,5,5,2,4,1,2,4,2,1,1,1.98
E113,5,5,4,1,5,5,5,4,2,1,4,1,5,1,1,2.523
E114,2,2,2,5,5,3,3,3,2,1,3,4,2,1,1,2.009
E115,2,2,3,5,5,5,5,4,4,1,4,4,2,1,1,2.427
E116,2,1,4,4,5,2,2,2,1,1,2,5,1,1,1,1.846
E117,2,2,2,4,5,2,2,3,2,1,3,4,2,1,1,1.869
E118,1,2,1,3,5,2,2,4,1,1,4,4,3,1,1,1.761
E119,2,4,1,3,5,2,2,5,4,1,5,2,3,1,1,2.037
E120,2,1,4,4,5,2,2,1,4,1,1,5,1,1,1,1.862
E121,1,2,1,3,5,2,2,4,3,1,4,4,2,1,1,1.81
E122,2,2,2,3,5,1,1,2,1,1,2,4,2,1,1,1.597
E123,2,1,5,4,5,2,2,1,4,1,1,5,1,1,1,1.927
