,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,固定周期下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,销方基尼系数,销方HIHI指数,信誉评级,是否违约,企业代号
95,2,3,2,5,5,1,1,2,2,2,1,3,4,2,5,E96
96,3,5,1,5,5,2,2,5,5,4,1,1,5,4,5,E97
97,2,2,2,4,5,3,3,4,4,4,1,4,2,4,5,E98
98,2,2,2,5,5,2,2,1,1,3,1,4,2,1,1,E99
99,3,2,3,5,5,3,3,3,3,4,1,4,3,1,1,E100
100,2,1,3,5,5,3,3,2,2,4,1,5,2,1,1,E101
101,5,5,3,1,5,3,3,5,5,1,1,1,5,1,1,E102
102,2,1,4,3,5,2,2,3,3,4,1,5,1,1,1,E103
103,2,4,1,5,5,5,5,4,4,4,1,2,4,2,5,E104
104,2,3,2,3,5,5,5,1,1,3,1,3,4,2,5,E105
105,2,4,1,1,5,2,2,5,5,4,1,2,4,4,5,E106
106,3,3,2,5,5,5,5,3,3,2,1,3,3,1,1,E107
107,2,3,2,1,5,2,2,3,3,4,1,3,2,1,1,E108
108,2,1,5,3,5,2,2,1,1,1,1,5,1,1,1,E109
109,2,1,4,2,5,4,4,2,2,4,1,5,2,2,5,E110
110,2,3,1,5,5,3,3,4,4,2,1,3,4,1,1,E111
111,2,2,2,1,5,5,5,2,2,4,1,4,2,1,1,E112
112,5,5,4,1,5,5,5,4,4,2,1,1,5,1,1,E113
113,2,2,2,5,5,3,3,3,3,2,1,4,2,1,1,E114
114,2,2,3,5,5,5,5,4,4,4,1,4,2,1,1,E115
115,2,1,4,4,5,2,2,2,2,1,1,5,1,1,1,E116
116,2,2,2,4,5,2,2,3,3,2,1,4,2,1,1,E117
117,1,2,1,3,5,2,2,4,4,1,1,4,3,1,1,E118
118,2,4,1,3,5,2,2,5,5,4,1,2,3,1,1,E119
119,2,1,4,4,5,2,2,1,1,4,1,5,1,1,1,E120
120,1,2,1,3,5,2,2,4,4,3,1,4,2,1,1,E121
121,2,2,2,3,5,1,1,2,2,1,1,4,2,1,1,E122
122,2,1,5,4,5,2,2,1,1,4,1,5,1,1,1,E123
